Time,Person In,Person Out
2022/09/02 14:15:26,,1
2022/09/02 14:15:27,,1
2022/09/02 14:19:47,1,
2022/09/02 14:22:22,,1
2022/09/02 14:22:22,,1
2022/09/02 14:23:00,,1
2022/09/02 14:23:01,,1
2022/09/02 14:23:41,,1
2022/09/02 14:27:12,,1
2022/09/02 14:27:13,,1
2022/09/02 14:27:27,1,
2022/09/02 14:27:30,,1
2022/09/02 14:27:30,,1
2022/09/02 14:27:30,,1
2022/09/02 14:27:35,,1
2022/09/02 14:27:56,,1
2022/09/02 14:28:37,,1
2022/09/02 14:30:16,1,
2022/09/02 14:30:17,1,
2022/09/02 14:30:19,1,
2022/09/02 14:30:19,,1
2022/09/02 14:31:45,1,
2022/09/02 14:33:06,,1
2022/09/02 14:33:06,,1
2022/09/02 14:33:28,1,
2022/09/02 14:33:56,1,
2022/09/02 14:36:57,1,
2022/09/02 14:38:23,,1
2022/09/02 14:40:59,1,
2022/09/02 14:41:52,,1
2022/09/02 14:41:52,1,
2022/09/02 14:44:30,,1
2022/09/02 14:46:18,,1
2022/09/02 14:49:13,,1
2022/09/02 14:49:16,1,
2022/09/02 14:49:16,,1
2022/09/02 14:49:26,,1
2022/09/02 14:50:07,,1
2022/09/02 14:51:30,,1
2022/09/02 14:53:58,,1
2022/09/02 14:53:59,1,
2022/09/02 14:55:55,1,
2022/09/02 14:57:08,,1
2022/09/02 14:57:44,1,
2022/09/02 14:58:17,1,
2022/09/02 14:58:30,,1
2022/09/02 15:01:23,,1
2022/09/02 15:01:35,,1
2022/09/02 15:06:09,,1
2022/09/02 15:06:09,1,
2022/09/02 15:08:39,1,
2022/09/02 15:10:58,1,
2022/09/02 15:12:24,,1
2022/09/02 15:13:48,1,
2022/09/02 15:16:00,,1
2022/09/02 15:18:48,1,
2022/09/02 15:21:41,,1
2022/09/02 15:22:50,,1
2022/09/02 15:24:35,1,
2022/09/02 15:24:38,,1
2022/09/02 15:25:27,1,
2022/09/02 15:27:02,,1
2022/09/02 15:27:23,,1
2022/09/02 15:27:42,1,
